Column 1,Column 2
01012013,1
012,1
1,4
10,4
1000,1
10000,1
1200,1
12013,1
12480568,1
12v17r,1
13,1
135,1
14,1
1420,1
15,2
15th,1
15year,1
16827,1
16th,1
17431920,1
17605776,1
17891939,1
1800,1
1854,1
18561918,1
18791971,1
18821942,1
18831887,1
18831968,1
19,1
19121913,1
1914,1
19191948,1
19211985,1
1924,1
19501973,1
19741976,1
19752007,1
19791992,1
19862012,1
19961997,1
19992001,1
1st,2
2,7
20,1
2002,1
20042006,1
20042007,1
2008,1
2009,3
20092010,1
2010,3
2011,4
20112012,1
2012,8
2013,10
20th,2
21,2
212,1
21st,1
22220,1
2300,1
2327,1
250,1
25000,1
25th,1
268276,1
28,1
2nd,2
3,6
30day,1
36,1
3d,2
3e,1
3rd,4
4,2
5,1
50,1
57,1
6,4
60th,1
619,1
64,1
654,1
7,2
7th,1
8,1
9,2
971,1
`hλεκτρυώνη,1
a,102
aaas,1
aata,1
abandons,1
abbey,1
abbreviations,2
abbreviaturarum,1
abia,1
abnormal,1
abo,1
about,5
abraham,1
abroad,2
absolute,1
abstracta,1
abteilung,2
abyad,2
academiae,1
academiaedu,4
academic,7
academy,4
académie,1
académique,1
accademia,4
accces,1
acces,2
access,1530
accessible,2
accesss,11
achaemenid,2
achai,1
achemenet,2
achéménide,1
achéménide,1
acls,3
acme,1
acor,1
acquisitions,2
acropolis,3
across,1
acta,14
actas,1
actes,2
active,1
activités,1
actualidades,1
ad,6
ad79,1
ada,1
adab,1
adalya,1
added,1
addenda,1
additional,6
additions,3
adias,1
admin,1
administration,1
administrative,26
adoranten,1
adriatica,1
ads,1
advance,1
advances,1
adventure,1
aedon,1
aegaeum,2
aegaron,1
aegean,10
aegeobalkan,1
aegeus,2
aegypten,1
aegypti,1
aegyptia,1
aegyptiaca,2
aegyptiacarum,1
aegyptiae,1
aegyptischen,1
aegyptium,1
aeliana,1
aemilia,1
aequora,2
aera,2
aeragram,1
aerial,2
aestimatio,1
aethiopica,1
aevi,2
afaq,1
affini,1
afghanistan,1
afo,1
africa,6
africaine,2
africaines,2
african,2
afroasiatic,1
after,1
afterlife,1
agade,1
age,10
agency,1
agendasetting,1
ager,2
ages,2
aggregator,4
aggregators,1
agitating,1
agora,4
agricultural,1
agriculture,2
agsl,1
aia,6
aiacnews,1
aias,1
aids,1
aigis,1
aigyptos,2
aintzinari,1
aitia,2
aja,8
akamas,1
akkadian,7
akroterion,1
aksum,1
aktc,1
al,4
alaliya,1
alberca,1
albright,1
album,3
alderman,1
aleppo,1
alexander,1
alexandria,2
alexandrin,1
alexandrine,1
alfred,1
algérie,1
alice,1
alishar,1
aljaranda,1
all,4
allunion,1
alma,1
almanack,1
almatourism,1
almatḥaf,1
almiṣrī,1
almudayna,1
alphabetical,2
alpheios,2
alrafedain,1
altai,1
alten,1
alterthumswissenschaft,1
altertums,1
altertumskunde,2
altertumswissenschaft,2
altertumswissenschaften,5
altertümer,1
altoaragoneses,1
altos,1
altphilologenverband,1
altägyptische,1
alumni,2
alétheia,1
am,1
amar,25
amarna,7
ambers,1
ameel,1
amelia,1
america,5
american,24
amheida,3
amigos,2
amin,1
amir,1
amirani,1
amis,2
amman,1
amores,1
amphitheatrum,1
amphora,1
amphorae,1
amphoras,1
amphores,4
amphoreus,1
amphorologique,1
amuq,1
an,22
anabases,1
anacreontics,1
anadolu,2
anais,1
analecta,7
analele,1
anales,2
analysis,3
analytical,1
analytique,1
anastasios,1
anatolia,1
anatolian,2
anatolias,1
anatolica,1
anatolicum,1
anatoliennes,2
ancaster,1
ancien,1
ancienne,5
anciennes,5
anciens,3
ancient,201
ancientplanet,1
and,318
andrea,1
andrews,1
andré,1
ane,2
anecdota,1
anemmaco,1
anfore,1
animal,3
anistoriton,1
ankara,2
ankh,2
anmal,1
anmed,1
annales,7
annali,3
annals,1
annis,1
anniversary,2
annotated,2
announced,2
announcement,5
announcementcall,1
announcing,5
annuaire,4
annual,24
annuale,1
annuels,1
annuus,1
another,3
ans,1
antesteria,1
anthrojournal,1
anthropobotanica,1
anthropological,8
anthropologie,1
anthropologies,1
anthropology,16
anthroponymes,1
anthroponyms,1
anthropozoologica,1
antica,2
antiche,2
antichi,2
antichistica,1
antichità,2
antico,3
antiga,4
antigo,1
antigua,9
antiguidade,2
antiguidadee,1
antiguitat,1
antiguo,3
antigüedad,1
antigüedad,4
antigüidade,1
antike,7
antiken,1
antikythera,1
antinoupolis,2
antioch,1
antiqua,11
antiquaires,1
antique,9
antiques,4
antiquis,1
antiquitatis,2
antiquitatum,1
antiquites,1
antiquities,16
antiquity,26
antiquité,1
antiquités,5
antiquorum,1
antiquum,2
antiquus,1
antiqva,1
antiqvvm,1
antiqüedad,1
anti­qua,1
antlitz,1
antoninus,1
antrocom,1
antropologiaarkeologia,1
antropología,2
antípoda,1
anuală,1
anuari,1
ap,1
apa,1
apaame,1
apd,1
apgrd,1
aphrodisias,1
aphrodito,1
apocalíptica,1
apocryphon,1
apollinaris,1
apolline,1
apologies,1
apostolica,1
app,3
applications,1
approaches,2
april,4
apulensis,2
apulum,1
apuntes,1
aquae,1
aquarum,1
aquileia,1
ar,1
ara,3
arab,1
arabe,2
arabes,1
arabia,5
arabian,7
arabic,11
arachne,4
arachnion,1
aramaic,4
aramaica,1
aramaico,1
aramco,1
arastirmalar,1
araştırma,1
araştırmaları,2
arbeit,1
arbeitsgemeinschaft,1
arcane,1
archaeobios,1
archaeobotanical,2
archaeolandscapes,1
archaeologia,3
archaeologiae,1
archaeologica,10
archaeological,96
archaeologicaltracesorg,2
archaeologici,1
archaeologik,1
archaeologist,1
archaeologists,2
archaeology,150
archaeologycoursesorg,1
archaeologys,1
archaeomalacology,1
archaeomaterials,1
archaeometry,3
archaeomineralogy,1
archaeonautica,1
archaeoseek,1
archaeozoology,1
archai,1
archaic,2
archaiologikē,1
archatlas,2
archaïque,1
archäologie,1
archäologische,1
archbase,1
archeoarte,1
archeologia,18
archeologica,5
archeological,1
archeologické,1
archeologico,1
archeologiques,1
archeology,2
archeomafie,1
archeomatica,1
archeomedia,1
archeometriai,1
archeomolise,1
archeorivista,1
arches,1
archéologique,2
archibab,6
archimage,1
archimedes,2
architectural,2
architecture,6
architettura,1
archiv,2
archival,4
archive,52
archived,1
archives,32
archivio,2
archivo,2
archivum,3
archnet,1
archäologie,6
archäologische,2
archäologischen,2
archäologisches,2
archéographiques,1
archéogéographie,1
archéologie,4
archéologies,1
archéologique,17
archéologiques,4
archéonil,1
archéopages,1
archéosciences,1
arctos,1
are,4
areas,1
arena,1
argentina,1
argolid,1
